t,Q,P,Bar,Eta
2024-02-01 00:14:04,0.07243978,152.0096,26.84108,0.7815116285542595
2024-02-01 00:29:04,0.07201073,151.9532,26.76477,0.7881169330656607
2024-02-01 00:44:04,0.03844291,85.95273,28.06013,0.7965174212022409
2024-02-01 00:59:04,0.042599330000000005,90.76697,28.04378,0.7595039824276687
2024-02-01 01:14:04,0.03460827,77.4043,28.25453,0.7912954112483631
2024-02-01 01:29:04,0.04739397,104.3614,27.63319,0.7965761909195014
2024-02-01 01:44:04,0.03943509,82.83258,27.75855,0.7564201916845908
2024-02-01 01:59:04,0.05662392,128.3493,27.35341,0.8283686129754377
2024-02-01 02:14:04,0.048595309999999996,107.5971,27.7204,0.7984509721382969
2024-02-01 02:29:04,0.07044468999999999,148.0458,26.80111,0.7838565380558502
2024-02-01 02:44:04,0.07426861,157.1793,26.73389,0.7913515097135125
2024-02-01 02:59:04,0.0726114,154.1774,26.81927,0.7914263254054439
2024-02-01 03:14:04,0.07305654,154.187,26.77749,0.7878804608418494
2024-02-01 03:29:04,0.07471375000000001,157.1426,26.64123,0.7891883492676478
2024-02-01 03:44:04,0.07358212,155.9555,26.75932,0.7917623814541004
2024-02-01 03:59:04,0.07275084,154.3379,26.85561,0.7896617293849737
2024-02-01 04:14:04,0.07451531,157.5065,26.71572,0.7909110129278992
2024-02-01 04:29:04,0.07497118,158.3871,26.703,0.790873351888103
2024-02-01 04:44:04,0.0740648,156.5919,26.7575,0.7898660412585625
2024-02-01 04:59:04,0.07297073,153.3229,26.85743,0.7820516183809765
2024-02-01 05:14:04,0.07411308,153.304,26.71753,0.7739338752896006
2024-02-01 05:29:04,0.07367867,155.433,26.75387,0.7882362011734603
2024-02-01 05:44:04,0.07435442,157.0495,26.78294,0.7883390812674403
2024-02-01 05:59:04,0.07270258,153.7856,26.79566,0.7891197761203316
2024-02-01 06:14:04,0.07168358000000001,151.7722,26.82654,0.788949886340753
2024-02-01 06:29:04,0.0708952,149.5495,26.85925,0.7850833903257411
2024-02-01 06:44:04,0.07098101,150.1041,26.86469,0.786882857558366
2024-02-01 06:59:04,0.07420425,156.95,26.72298,0.7912053057837041
2024-02-01 07:14:04,0.07281520000000001,153.3926,26.70845,0.7884519192610271
2024-02-01 07:29:04,0.07339442,153.9265,26.89194,0.7795962753006194
2024-02-01 07:44:04,0.07493362999999999,158.2273,26.69573,0.7906866059318479
2024-02-01 07:59:04,0.07235397,153.1432,26.79929,0.7895026668438268
2024-02-01 08:14:04,0.07321206999999999,154.5667,26.76114,0.788624338274035
2024-02-01 08:29:04,0.07251486,152.8879,26.79384,0.7865977148828519
2024-02-01 08:44:04,0.07279375,153.8342,26.78657,0.7886480538496048
2024-02-01 08:59:04,0.07121699,150.2745,26.86106,0.7852719198274623
2024-02-01 09:14:04,0.07265967000000001,153.7002,26.80474,0.7888800076325397
2024-02-01 09:29:04,0.07154413999999999,149.7854,26.77567,0.7816216972262254
2024-02-01 09:44:04,0.07298144999999999,154.2251,26.77385,0.7889932438515934
2024-02-01 09:59:04,0.0724666,152.9323,26.79566,0.7872966681595566
2024-02-01 10:14:04,0.07083083999999999,149.8074,26.85743,0.7872052093847333
2024-02-01 10:29:04,0.07157095,151.305,26.77204,0.7893626447239659
2024-02-01 10:44:04,0.07308871,153.9663,26.83199,0.7848091008623205
2024-02-01 10:59:04,0.07330861,154.4689,26.76477,0.786980716167893
2024-02-01 11:14:04,0.07240224,153.1169,26.79384,0.7890012712023047
2024-02-01 11:29:04,0.07269721,154.0728,26.77749,0.7911883853544299
2024-02-01 11:44:04,0.07231643,153.0087,26.88649,0.7866591074876567
2024-02-01 11:59:04,0.07302971999999999,154.405,26.76659,0.7896055914237609
2024-02-01 12:14:04,0.07205363,152.0443,26.77567,0.7877990794930557
2024-02-01 12:29:04,0.0735714,154.9767,26.76295,0.7868010727779937
2024-02-01 12:44:04,0.07155486000000001,150.8924,26.79384,0.7867464785596844
2024-02-01 12:59:04,0.07417207,156.7545,26.69755,0.7913156347049402
2024-02-01 13:14:04,0.07203754000000001,153.1038,26.81382,0.7923370131900795
2024-02-01 13:29:07,0.0724666,151.7695,26.79929,0.7812047351581044
2024-02-01 13:44:07,0.07300291,154.6512,26.76295,0.7912626695452897
2024-02-01 13:59:07,0.07232716,151.7083,26.89376,0.7796468740626706
2024-02-01 14:14:07,0.07329252,154.874,26.77567,0.7888965405972925
2024-02-01 14:29:07,0.0447124,99.53493,27.46968,0.8100941029069196
2024-02-01 14:44:07,0.03302079,68.90578,28.16732,0.740566740752827
2024-02-01 14:59:07,0.045994190000000004,105.5847,27.62592,0.8306590537311256
2024-02-01 15:14:07,0.04938905,107.046,27.70768,0.7819538913852454
2024-02-01 15:29:07,0.03258101,68.56915,28.3708,0.7415393091199237
2024-02-01 15:44:07,0.07014436,148.0329,26.90648,0.7840615233598479
2024-02-01 15:59:07,0.05126615,112.2066,27.5587,0.7939086052530949
2024-02-01 16:14:07,0.059498550000000004,125.9611,27.36431,0.7733696031998804
2024-02-01 16:29:07,0.0,0.0,26.98278,
2024-02-01 16:44:07,0.0,0.0,23.46187,
2024-02-01 16:59:07,0.0,0.0,23.09488,
2024-02-01 17:14:07,0.01189542,23.99035,28.6197,0.7044225722313135
2024-02-01 17:29:07,0.08682906,189.7825,27.24804,0.8018577539454972
2024-02-01 17:44:07,0.07768492,163.3931,26.60671,0.7902187880866363
2024-02-01 17:59:07,0.07558257,159.6195,26.66848,0.7916032440497829
2024-02-01 18:14:07,0.07437051,156.9754,26.74842,0.7888133323810523
2024-02-01 18:29:07,0.07345341000000001,155.2148,26.76477,0.7892220112928133
2024-02-01 18:44:07,0.07238078,152.5346,26.85743,0.7843722013920797
2024-02-01 18:59:07,0.0749229,157.8568,26.71753,0.7883043942924272
2024-02-01 19:14:07,0.07337833,156.4796,26.84108,0.7942028747963868
2024-02-01 19:29:07,0.0737752,156.4837,26.6594,0.7953346019867724
2024-02-01 19:44:07,0.07315308000000001,152.8894,26.68483,0.7829280579345089
2024-02-01 19:59:07,0.07329252,154.7285,26.77385,0.7882089695616243
2024-02-01 20:14:07,0.07263285,153.6229,26.80111,0.7888812426983299
2024-02-01 20:29:07,0.07293855,153.9654,26.78839,0.7877001600271458
2024-02-01 20:44:07,0.07261676,153.8013,26.79929,0.7900260063195315
2024-02-01 20:59:07,0.07378056,155.8212,26.7575,0.7890065358052314
2024-02-01 21:14:07,0.07327643,154.5188,26.77567,0.7872600525056781
2024-02-01 21:29:07,0.07221453,152.5618,26.81927,0.7874369682913954
2024-02-01 21:44:07,0.07174258,151.87,26.83381,0.7885953272572295
2024-02-01 21:59:07,0.07304045,154.586,26.82109,0.7888089572102615
2024-02-01 22:14:07,0.0724666,150.5169,26.81746,0.7742322822350134
2024-02-01 22:29:07,0.07308336,154.4074,26.77749,0.7887171349908639
2024-02-01 22:44:07,0.07254168,153.4876,26.75569,0.7905167348099091
2024-02-01 22:59:07,0.07292246,154.3251,26.79202,0.7896076274694147
2024-02-01 23:14:07,0.06982257,147.4961,26.83199,0.7869975150965572
2024-02-01 23:29:07,0.07211799,153.1908,26.81564,0.791849124830309
2024-02-01 23:44:07,0.07233252,153.033,26.7793,0.7897575987718661
2024-02-01 23:59:07,0.07210191,152.3245,26.83562,0.7869604301353734
2024-02-02 00:14:07,0.07262748999999999,153.6809,26.79566,0.7893978494299695
2024-02-02 00:29:07,0.07326034,154.7658,26.76841,0.788905582036364
2024-02-02 00:44:07,0.07168894,151.4782,26.83199,0.7872028014572969
2024-02-02 00:59:07,0.0719571,152.2644,26.81927,0.7887135613808581
2024-02-02 01:14:07,0.0717962,151.5554,26.83017,0.7864806997274792
2024-02-02 01:29:07,0.07326034,154.4955,26.78112,0.7871539993630817
2024-02-02 01:44:07,0.07092738,149.5405,26.85743,0.784733143805269
2024-02-02 01:59:07,0.07218771,152.8069,26.80293,0.789476061091773
2024-02-02 02:14:07,0.07211799,152.3339,26.81746,0.7873663366272464
2024-02-02 02:29:07,0.07315844,154.7876,26.7793,0.7897943948932848
2024-02-02 02:44:07,0.07319598000000001,154.5558,26.77567,0.788314052263959
2024-02-02 02:59:07,0.07258995,154.7298,26.85743,0.7933677669499546
2024-02-02 03:14:07,0.07289565,154.5282,26.7793,0.7913132721315566
2024-02-02 03:29:07,0.07152267999999999,150.4676,26.88286,0.7822855021410993
2024-02-02 03:44:07,0.07180692999999999,152.2858,26.69937,0.7940238971401173
2024-02-02 03:59:07,0.07205363,152.2258,26.81564,0.7875638455797913
2024-02-02 04:14:07,0.07173185,151.4206,26.83381,0.7863793999969275
2024-02-02 04:29:07,0.07243978,153.3506,26.80474,0.7894748425583112
2024-02-02 04:44:07,0.0738771,157.2205,26.73934,0.7955915978918402
2024-02-02 04:59:07,0.044959110000000004,98.95061,27.76763,0.792325245886827
2024-02-02 05:14:07,0.02454704,49.62523,28.30177,0.7140544705663553
2024-02-02 05:29:07,0.055363579999999996,123.9526,27.45151,0.8152799739866654
2024-02-02 05:44:07,0.05012917,111.2379,27.59504,0.8038458556920683
2024-02-02 05:59:07,0.0357238,78.22117,28.0238,0.7810541980314986
2024-02-02 06:14:07,0.06353699,139.1598,27.13358,0.8069034983960685
2024-02-02 06:29:07,0.05052604,112.3588,27.89663,0.7968592638479732
2024-02-02 06:44:07,0.07661230000000001,162.3051,26.6267,0.79534921777234
2024-02-02 06:59:07,0.07456358,156.8366,26.66666,0.7884852638150516
2024-02-02 07:14:07,0.07301363000000001,154.6971,26.83744,0.7891847467046473
2024-02-02 07:29:07,0.07271867,152.9521,26.81382,0.7841377546768619
2024-02-02 07:44:07,0.07284202000000001,153.6317,26.92828,0.782945943706509
2024-02-02 07:59:07,0.07258459,153.4933,26.79566,0.7889002144732988
2024-02-02 08:14:07,0.07292246,153.9675,26.78112,0.7880985876359987
2024-02-02 08:29:07,0.07277766,154.3149,26.77204,0.791716773846705
2024-02-02 08:44:07,0.07327643,154.2885,26.77567,0.7860866937293217
2024-02-02 08:59:07,0.07346413,155.3272,26.75569,0.7899462754297144
2024-02-02 09:14:07,0.07341587,154.6147,26.77022,0.7864125392492309
2024-02-02 09:29:07,0.07291173999999999,153.7461,26.79384,0.7867073783390518
2024-02-02 09:44:07,0.07237006,152.6006,26.78476,0.7869571520223536
2024-02-02 09:59:07,0.07211263,151.2911,26.77385,0.7833083519761461
2024-02-02 10:14:07,0.07311017,154.5326,26.75932,0.7896029865141589
2024-02-02 10:29:07,0.07238078,152.7708,26.80293,0.7871841832425065
2024-02-02 10:44:07,0.07343196,153.9447,26.72117,0.7842701556140382
2024-02-02 10:59:07,0.07337833,153.7115,26.80474,0.7812112262376966
2024-02-02 11:14:07,0.07241296,153.2159,26.7575,0.7904666281260967
2024-02-02 11:29:07,0.07399509,155.8048,26.73752,0.7872240354965717
2024-02-02 11:44:07,0.07229498,153.0354,26.79566,0.7896976398158468
2024-02-02 11:59:07,0.07227888,152.7392,26.80656,0.7880241892046965
2024-02-02 12:14:07,0.07222526,152.0802,26.81927,0.7848346091711389
2024-02-02 12:29:07,0.07186593000000001,150.7656,26.71572,0.7849714560040494
2024-02-02 12:44:07,0.07286346,153.5447,26.78657,0.7864108038469044
2024-02-02 12:59:07,0.07222526,152.6772,26.80656,0.7882891052120445
2024-02-02 13:14:07,0.07110436,150.616,26.85925,0.7883562840693539
2024-02-02 13:29:07,0.07273475,153.7792,26.78839,0.7889519815594924
2024-02-02 13:44:07,0.06984939,147.4139,26.91557,0.7838153681793745
2024-02-02 13:59:07,0.07303509,154.3824,26.7793,0.7890572894455071
2024-02-02 14:14:07,0.07269721,153.7241,26.80111,0.7887020536806558
2024-02-02 14:29:07,0.07181229,151.3313,26.83926,0.7848758869247059
2024-02-02 14:44:07,0.07211263,152.4467,26.82473,0.7877943666385625
2024-02-02 14:59:07,0.07033742999999999,148.9906,26.89194,0.7873934124291696
2024-02-02 15:14:07,0.07043397,148.6138,26.90103,0.7840605443049803
2024-02-02 15:29:07,0.07197319,152.3757,26.82473,0.7889530145832806
2024-02-02 15:44:07,0.07274548,151.2111,26.80837,0.7750840278999283
2024-02-02 15:59:07,0.07231643,153.0285,26.81564,0.7888396172928142
2024-02-02 16:14:07,0.07214481,151.9149,26.84289,0.7841651617113032
2024-02-02 16:29:07,0.07192492,151.7455,26.84289,0.7856854295222884
2024-02-02 16:44:07,0.0729171,154.3124,26.79202,0.789600685458887
2024-02-02 16:59:07,0.07084693,149.9198,26.83926,0.788150142475442
2024-02-02 17:14:07,0.07255241,153.0808,26.81382,0.786595989630937
2024-02-02 17:29:07,0.07077721,150.6387,26.88649,0.7913170955966847
2024-02-02 17:44:07,0.07345877,153.6201,26.91557,0.7766804030471586
2024-02-02 17:59:07,0.07161922,151.225,26.84653,0.7862259684209842
2024-02-02 18:14:07,0.07309408,154.3887,26.79566,0.7879712735485761
2024-02-02 18:29:07,0.07284737,153.7524,26.79384,0.7874348003845121
2024-02-02 18:44:07,0.04151598,90.68738,27.64772,0.789793901582617
2024-02-02 18:59:07,0.0223857,46.04978,28.38715,0.7243969703378336
2024-02-02 19:14:07,0.06878749,149.7773,26.98642,0.8065527885087449
2024-02-02 19:29:07,0.04995218,109.469,27.52419,0.7959095116365106
2024-02-02 19:44:07,0.04050771,90.47845,27.88391,0.8007470088348487
2024-02-02 19:59:07,0.05494525,120.2096,27.56779,0.7933203300969179
2024-02-02 20:14:07,0.04485721,98.80056,27.78943,0.7922988884810102
2024-02-02 20:29:07,0.07617252000000001,159.3413,26.59218,0.7863531452925145
2024-02-02 20:44:07,0.07238615,152.0945,26.81201,0.7833758805016008
2024-02-02 20:59:07,0.0736143,155.81,26.77204,0.7903022404189336
