t,Q,P,Bar,Eta
2025-01-01 00:00:00,0.0046,0.0,0.067,0.0
2025-01-01 00:15:00,0.0046,0.0,0.0672,0.0
2025-01-01 00:30:00,0.0046,0.0,0.066,0.0
2025-01-01 00:45:00,0.0046,0.0,0.0667,0.0
2025-01-01 01:00:00,0.0045,0.0,0.0664,0.0
2025-01-01 01:15:00,0.0046,0.0,0.0667,0.0
2025-01-01 01:30:00,0.0046,0.0,0.0677,0.0
2025-01-01 01:45:00,0.0045,0.0,0.0677,0.0
2025-01-01 02:00:00,0.0045,0.0,0.0679,0.0
2025-01-01 02:15:00,0.0045,0.0,0.0685,0.0
2025-01-01 02:30:00,0.0046,0.0,0.0685,0.0
2025-01-01 02:45:00,0.0044,0.0,0.06860000000000001,0.0
2025-01-01 03:00:00,0.0045,0.0,0.069,0.0
2025-01-01 03:15:00,0.0045,0.0,0.06920000000000001,0.0
2025-01-01 03:30:00,0.0044,0.0,0.0687,0.0
2025-01-01 03:45:00,0.0044,0.0,0.0685,0.0
2025-01-01 04:00:00,0.0044,0.0,0.0693,0.0
2025-01-01 04:15:00,0.0044,0.0,0.0694,0.0
2025-01-01 04:30:00,0.0044,0.0,0.0696,0.0
2025-01-01 04:45:00,0.0045,0.0,0.0695,0.0
2025-01-01 05:00:00,0.0045,0.0,0.0695,0.0
2025-01-01 05:15:00,0.0043,0.0,0.0694,0.0
2025-01-01 05:30:00,0.0044,0.0,0.0688,0.0
2025-01-01 05:45:00,0.0043,0.0,0.0689,0.0
2025-01-01 06:00:00,0.0044,0.0,0.0689,0.0
2025-01-01 06:15:00,0.0044,0.0,0.06960000000000001,0.0
2025-01-01 06:30:00,0.0043,0.0,0.0694,0.0
2025-01-01 06:45:00,0.0044,0.0,0.0697,0.0
2025-01-01 07:00:00,0.0043,0.0,0.07010000000000001,0.0
2025-01-01 07:15:00,0.0043,0.0,0.0697,0.0
2025-01-01 07:30:00,0.0043,0.0,0.0689,0.0
2025-01-01 07:45:00,0.0043,0.0,0.069,0.0
2025-01-01 08:00:00,0.0043,0.0,0.069,0.0
2025-01-01 08:15:00,0.0042,0.0,0.0695,0.0
2025-01-01 08:30:00,0.0042,0.0,0.0689,0.0
2025-01-01 08:45:00,0.0042,0.0,0.069,0.0
2025-01-01 09:00:00,0.0042,0.0,0.0685,0.0
2025-01-01 09:15:00,0.0041,0.0,0.06949999999999999,0.0
2025-01-01 09:30:00,0.0042,0.0,0.0693,0.0
2025-01-01 09:45:00,0.0042,0.0,0.0701,0.0
2025-01-01 10:00:00,0.0042,0.0,0.0702,0.0
2025-01-01 10:15:00,0.0041,0.0,0.0702,0.0
2025-01-01 10:30:00,0.0041,0.0,0.0685,0.0
2025-01-01 10:45:00,0.0042,0.0,0.06960000000000001,0.0
2025-01-01 11:00:00,0.0042,0.0,0.0693,0.0
2025-01-01 11:15:00,0.0042,0.0,0.0689,0.0
2025-01-01 11:30:00,0.0042,0.0,0.06960000000000001,0.0
2025-01-01 11:45:00,0.0043,0.0,0.06910000000000001,0.0
2025-01-01 12:00:00,0.0044,0.0,0.06870000000000001,0.0
2025-01-01 12:15:00,0.0044,0.0,0.0694,0.0
2025-01-01 12:30:00,0.0043,0.0,0.06960000000000001,0.0
2025-01-01 12:45:00,0.0043,0.0,0.0694,0.0
2025-01-01 13:00:00,0.0043,0.0,0.06920000000000001,0.0
2025-01-01 13:15:00,0.0044,0.0,0.0696,0.0
2025-01-01 13:30:00,0.0044,0.0,0.0687,0.0
2025-01-01 13:45:00,0.0044,0.0,0.0687,0.0
2025-01-01 14:00:00,0.0044,0.0,0.0685,0.0
2025-01-01 14:15:00,0.0045,0.0,0.06860000000000001,0.0
2025-01-01 14:30:00,0.0044,0.0,0.0685,0.0
2025-01-01 14:45:00,0.0045,0.0,0.0674,0.0
2025-01-01 15:00:00,0.0046,0.0,0.0681,0.0
2025-01-01 15:15:00,0.0044,0.0,0.0675,0.0
2025-01-01 15:30:00,0.0045,0.0,0.068,0.0
2025-01-01 15:45:00,0.0044,0.0,0.0685,0.0
2025-01-01 16:00:00,0.0045,0.0,0.0688,0.0
2025-01-01 16:15:00,0.0046,0.0,0.0684,0.0
2025-01-01 16:30:00,0.0045,0.0,0.0695,0.0
2025-01-01 16:45:00,0.0046,0.0,0.06910000000000001,0.0
2025-01-01 17:00:00,0.0047,0.0,0.0678,0.0
2025-01-01 17:15:00,0.0046,0.0,0.0685,0.0
2025-01-01 17:30:00,0.0047,0.0,0.0689,0.0
2025-01-01 17:45:00,0.0047,0.0,0.0693,0.0
2025-01-01 18:00:00,0.0047,0.0,0.0693,0.0
2025-01-01 18:15:00,0.0045,0.0,0.0689,0.0
2025-01-01 18:30:00,0.0046,0.0,0.0685,0.0
2025-01-01 18:45:00,0.0046,0.0,0.0687,0.0
2025-01-01 19:00:00,0.0047,0.0,0.0691,0.0
2025-01-01 19:15:00,0.0047,0.0,0.0689,0.0
2025-01-01 19:30:00,0.0048,0.0,0.0687,0.0
2025-01-01 19:45:00,0.0047,0.0,0.0689,0.0
2025-01-01 20:00:00,0.0047,0.0,0.068,0.0
2025-01-01 20:15:00,0.0046,0.0,0.0693,0.0
2025-01-01 20:30:00,0.0048,0.0,0.06910000000000001,0.0
2025-01-01 20:45:00,0.0047,0.0,0.0697,0.0
2025-01-01 21:00:00,0.0047,0.0,0.0693,0.0
2025-01-01 21:15:00,0.0047,0.0,0.06849999999999999,0.0
2025-01-01 21:30:00,0.0047,0.0,0.0688,0.0
2025-01-01 21:45:00,0.0046,0.0,0.0695,0.0
2025-01-01 22:00:00,0.0048,0.0,0.06960000000000001,0.0
2025-01-01 22:15:00,0.0047,0.0,0.0693,0.0
2025-01-01 22:30:00,0.0046,0.0,0.0693,0.0
2025-01-01 22:45:00,0.0046,0.0,0.0689,0.0
2025-01-01 23:00:00,0.0046,0.0,0.0684,0.0
2025-01-01 23:15:00,0.0045,0.0,0.0678,0.0
2025-01-01 23:30:00,0.0047,0.0,0.0679,0.0
2025-01-01 23:45:00,0.0046,0.0,0.0683,0.0
2025-01-02 00:00:00,0.0045,0.0,0.0679,0.0
2025-01-02 00:15:00,0.0045,0.0,0.0687,0.0
2025-01-02 00:30:00,0.0044,0.0,0.069,0.0
2025-01-02 00:45:00,0.0045,0.0,0.06920000000000001,0.0
2025-01-02 01:00:00,0.0045,0.0,0.0684,0.0
2025-01-02 01:15:00,0.0045,0.0,0.069,0.0
2025-01-02 01:30:00,0.0044,0.0,0.0695,0.0
2025-01-02 01:45:00,0.0043,0.0,0.0695,0.0
2025-01-02 02:00:00,0.0044,0.0,0.0684,0.0
2025-01-02 02:15:00,0.0044,0.0,0.0678,0.0
2025-01-02 02:30:00,0.0044,0.0,0.06920000000000001,0.0
2025-01-02 02:45:00,0.0044,0.0,0.06910000000000001,0.0
2025-01-02 03:00:00,0.0043,0.0,0.0683,0.0
2025-01-02 03:15:00,0.0043,0.0,0.0677,0.0
2025-01-02 03:30:00,0.0043,0.0,0.0685,0.0
2025-01-02 03:45:00,0.0043,0.0,0.06920000000000001,0.0
2025-01-02 04:00:00,0.0042,0.0,0.0695,0.0
2025-01-02 04:15:00,0.0042,0.0,0.06820000000000001,0.0
2025-01-02 04:30:00,0.0043,0.0,0.06820000000000001,0.0
2025-01-02 04:45:00,0.0042,0.0,0.0675,0.0
