t,QPAR,QST,Q,PPAR,PST,P,Bar,etaPAR,etaST,eta
2022-02-10 14:30:00,,89.85922,,,175.434875,,,,0.728188853904354,
2022-02-10 15:30:00,,67.12492,,,136.484575,,,,0.745418012170411,
2022-02-10 16:30:00,,90.54034,,,178.2183,,,,0.735087264654775,
2022-02-10 17:30:00,,90.59397,,,178.703775,,,,0.736526947040196,
2022-02-10 18:30:00,,90.465255,,,178.140925,,,,0.735076764215842,
2022-02-10 19:30:00,,90.6771,,,179.823425,,,,0.740475464539684,
2022-02-10 20:30:00,,90.1917325,,,178.19365,,,,0.737487137044539,
2022-02-10 21:30:00,,90.7347525,,,178.77915,,,,0.735868756335065,
2022-02-10 22:30:00,,89.92492,,,176.099225,,,,0.730593068234308,
2022-02-10 23:30:00,,90.0254775,,,176.600625,,,,0.733059331574008,
2022-02-11 00:30:00,,90.3459275,,,177.42525,,,,0.733196929388371,
2022-02-11 01:30:00,,90.0791125,,,177.691275,,,,0.736185904119741,
2022-02-11 02:30:00,,90.226595,,,176.59505,,,,0.730538698191319,
2022-02-11 03:30:00,,90.391515,,,177.48265,,,,0.733308179231402,
2022-02-11 04:30:00,,89.7626875,,,176.79575,,,,0.73483764705373,
2022-02-11 05:30:00,,89.73453,,,176.3857,,,,0.733345655717196,
2022-02-11 06:30:00,,89.5910625,,,175.91945,,,,0.73249736226694,
2022-02-11 07:30:00,,89.8189975,,,177.1595,,,,0.736201087891455,
2022-02-11 08:30:00,,89.314865,,,176.321425,,,,0.736290008559505,
2022-02-11 09:30:00,,89.3899475,,,176.197675,,,,0.735234985552648,
2022-02-11 10:30:00,,89.0467025,,,175.411275,,,,0.734580884656912,
2022-02-11 11:30:00,,89.5736325,,,175.46175,,,,0.730710517999927,
2022-02-11 12:30:00,,89.1526275,,,175.15665,,,,0.732237121949312,
2022-02-11 13:30:00,,89.08425,,,175.1133,,,,0.732917601423951,
2022-02-11 14:30:00,,89.06146,,,173.54225,,,,0.726065685465116,
2022-02-11 15:30:00,,81.4913975,,,162.9783,,,,0.741943751981101,
2022-02-11 16:30:00,,91.1436925,,,177.82305,,,,0.729050448433866,
2022-02-11 17:30:00,,91.14101,,,179.42795,,,,0.735559668277997,
2022-02-11 18:30:00,,90.4598925,,,178.54475,,,,0.736867186971718,
